0	2.8	a	If I wasn't working here.
1	3.0	a	".."""
2	3.44	a	Goodwill helps people get off of public assistance.
3	3.6	a	Coming to Goodwill was the first step toward my becoming totally independent.
4	3.0	a	"I am now... totally off of welfare."""
5	3.1	a	Goodwill prepares people for life-long employment.
6	3.25	a	Here's another story of success from what might seem like an unlikely source: Goodwill's controller, Juli.
7	3.25	a	Cornell found a number of employment options that he never dreamed existed after a work-site injury forced him out of his job at a foundry.
8	3.25	a	"He trained in desktop publishing and combined his enthusiastic work ethic with new-found skills in a burgeoning industry. """
9	3.0	a	Dear ,
10	3.27	a	"I've got more than a job; I've got a career."""
11	3.57	a	"After a lifetime of trials, Donna not only earned her GED at Goodwill, she earned a job here. """
12	2.88	a	I rode a bike to Goodwill in the rain and snow.
13	3.5	a	"..I had my second chance to change my life."""
14	3.63	a	Your gift to Goodwill will help the many people who want to tell their own stories of success.
15	3.7	a	Your support will help them go to work.
16	3.5	a	Please use the enclosed envelope to give a generous gift to Goodwill today!
17	3.14	a	Sincerely,
18	3.1	a	William A Carter, Chairman Goodwill Industries Foundation
19	3.0	a	P.S.
20	3.5	a	Your gift is a wise investment in the community.
21	3.88	a	"For every dollar donated to Goodwill in 1998, we helped our ""graduates"" earn an estimated $102."
22	3.25	a	That money was then spent in a variety of ways, adding fuel to our thriving economy.
23	3.7	a	She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $49 million dollars.
24	3.4	a	A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill's help.
25	3.6	a	Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.
26	3.0	a	What kind of work does Goodwill do?
27	3.29	a	Goodwill finds jobs for people with mental and physical disabilities.
28	3.43	a	After Maureen's job coach taught her how to do her job in a restaurant, we helped Maureen step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society.
29	3.6	a	Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community:
30	3.0	a	Parents act as role models of self-sufficiency instead of dependency.
31	3.12	a	Tax dollars that would have been spent on public assistance are saved.
32	2.7	a	You and I know that solutions to difficult problems don't just happen.
33	3.8	a	At Goodwill, it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results I see every day:
34	3.0	a	A Goodwill staff member addresses a group of welfare recipients:
35	3.0	a	"""You can earn the money to support yourself and your family,"" she says."
36	3.1	a	November 15, 1996
37	3.0	a	"""You can get off welfare."
38	3.12	a	I know you can...
39	3.1	a	"I did."""
40	2.82	a	His job objectives call for him to do it in 30.
41	3.46	a	once his tears have subsided, he confirms what his classmates have already figured out: he just received a job offer -- his first in five years.
42	3.27	a	Addressing a meeting at a neighborhood center, a Goodwill staff member tells the audience how Goodwill can help them find and keep jobs.
43	3.09	a	At the next corner he tells five more.
44	3.11	a	In order to develop job skills, a man with some serious disabilities begins working in Goodwill's industrial division.
45	2.86	a	He has no time to waste.
46	2.62	a	It takes a long time for him to gain the self-confidence to work elsewhere in the community.
47	3.25	a	These people and their successes are real.
48	3.0	a	Neither do we.
49	3.0	a	Just like the respect we've earned from U.S. News & World Report.
50	3.4	a	With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.
51	3.0	a	Real work.
52	3.0	a	Real results.
53	3.1	a	A real difference in people's lives -- in all of our lives.
54	3.12	a	The people who can benefit most directly from your generosity have no time to waste.
55	3.0	a	Jack Dustman Board Member and Former Chairman
56	3.29	a	We don't waste time as we are helping the community.
57	3.1	a	And we don't waste money.
58	3.2	a	The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.
59	3.57	a	"In their December, 1995 review of the nation's best charities, U.S. News & World Report called Goodwill one of the five ""Standout Good Guys."""
60	3.4	a	In the short while since Goodwill helped him find his job, Robert has learned to thoroughly clean a motel room in about 40 minutes.
61	3.4	a	"The magazine stated that Goodwill (as well as the other standouts) is ""uniquely effective, innovative or valuable."""
62	2.9	a	While I appreciate U.S. News & World Report's endorsement, the true value of your support is measured by the way Goodwill takes on problems that affect all of us.
63	2.9	a	And there are a lot of people who face these challenges every day of their lives.
64	3.14	a	So our work must continue.
65	3.5	a	Everyone benefits from the work we do together.
66	2.9	a	Many people need our help.
67	3.0	a	Please continue our important partnership.
68	3.14	a	Support Goodwill with a generous donation today.
69	3.0	a	Sincerely,
70	3.0	a	James M. McClelland President
71	3.7	a	We've helped people break free of the welfare cycle.
72	3.38	a	We've found ways for people with disabilities to enter the workforce.
73	3.0	a	December 10, 1996
74	3.4	a	We've expanded Goodwill's proven methods to towns and neighborhoods where they are needed most.
75	3.1	a	Of course, we've played different roles.
76	3.0	a	Dear Mailhouse donor reminder:
77	3.0	a	Who has benefited from our partnership?
78	2.9	a	Everyone has.
79	3.6	a	When you and I help somebody find a job, one more person joins the ranks of tax payers, fewer tax dollars are spent on public assistance and businesses gain another consumer.
80	3.6	a	You and I have done some important work together.
81	2.67	a	There are a lot of barriers that keep people from working: physical and mental disabilities, history of welfare dependency and lack of education or self-esteem.
82	3.78	a	At last, he has found success in a job that he loves.
83	2.86	a	Like Michael, they share two common characteristics.
